fea1,fea2,fea3,fea4,fea5
117,2,绿,-8,541.1764706
101,1,绿,16,11600
114,1,绿,774,6242.857143
107,1,绿,1233.931,19056.15714
120,1,绿,589,3445
108,1,绿,112,2650
107,1,绿,680,11142.85714
107,1,绿,539,9128.571429
154,1,绿,158.878,479.4037037
112,1,绿,2536,21966.66667
166,1,绿,3164.677,4946.480303
115,1,绿,1034,7560
128,1,绿,242,1221.428571
113,1,绿,970.432,8234.092308
105,1,绿,-82,360
145,1,绿,300,888.8888889
111,1,绿,571,6100
125,1,绿,96,784
111,0,绿,662,6927.272727
103,0,绿,-96.964,101.2
109,0,绿,19,1322.222222
113,0,绿,18941,146469.2308
111,0,绿,1137,11245.45455
103,0,绿,-43,1900
120,0,绿,2563,13315
114,0,绿,318,2985.714286
166,0,绿,3957.886,6148.312121
101,0,绿,-98,200
102,0,绿,-96,200
109,0,绿,-30,777.7777778
107,0,绿,213,4471.428571
102,0,绿,-97,150
102,0,绿,-16,4200
113,0,绿,2301,18469.23077
102,0,绿,-63,1850
106,0,绿,291,6516.666667
113,1,绿,145,1884.615385
113,1,绿,1007,8515.384615
106,1,绿,178,4633.333333
103,1,绿,78,5933.333333
110,1,绿,948,10480
103,1,绿,74,5800
111,1,绿,403,4572.727273
108,1,绿,111,2637.5
102,1,绿,-84.367,781.65
107,1,绿,470,8142.857143
108,1,绿,4,1300
103,1,绿,-33,2233.333333
102,1,绿,-13,4350
118,1,绿,159,1438.888889
108,1,绿,-35.324,808.45
111,1,绿,108.293,1893.572727
104,1,绿,6020,153000
106,1,绿,-32,1133.333333
106,1,绿,74.084,2901.4
121,1,绿,3081,15147.61905
105,1,绿,-75.2,496
101,1,绿,-99.551,44.9
122,1,绿,466,2572.727273
160,1,绿,7932,13386.66667
111,1,绿,611,6463.636364
138,1,绿,66.4,437.8947368
121,1,绿,283,1823.809524
104,1,绿,-10,2250
104,1,绿,584,17100
121,1,绿,3152,15485.71429
122,1,绿,-85.079,67.82272727
112,1,绿,-81,158.3333333
125,1,绿,474,2296
113,1,绿,1004,8492.307692
105,1,绿,619,14380
129,1,绿,77,610.3448276
115,1,绿,-65.4,230.6666667
110,1,绿,689,7890
127,1,绿,1047.945,4251.648148
101,1,绿,-88,1200
111,1,绿,256.366,3239.690909
113,1,绿,-53.511,357.6076923
105,1,绿,7,2140
150,1,绿,1119.682,2439.364
132,1,绿,2614.467,8482.709375
131,1,绿,740,2709.677419
103,1,绿,507,20233.33333
103,1,绿,88,6266.666667
108,1,绿,44,1800
114,1,绿,1254,9671.428571
111,1,绿,8,981.8181818
132,1,绿,4026,12893.75
105,1,绿,-51,980
117,1,绿,2189.606,13468.27059
108,1,绿,92,2400
109,1,绿,707,8966.666667
101,1,绿,-26,7400
114,1,绿,165,1892.857143
113,1,绿,35,1038.461538
103,1,绿,31,4366.666667
120,1,绿,1173,6365
107,1,绿,410,7285.714286
124,1,绿,4639.721,19748.8375
113,1,绿,97,1515.384615
118,1,绿,2463,14238.88889
112,1,绿,117,1808.333333
117,1,绿,1733.822,10787.18824
103,1,绿,109,6966.666667
120,1,绿,395,2475
148,1,绿,26,262.5
105,1,绿,501.574,12031.48
114,1,绿,49,1064.285714
144,1,绿,464.781,1283.593182
146,1,绿,1722.973,3962.984783
116,1,绿,914,6337.5
109,1,绿,785,9833.333333
129,1,绿,549,2237.931034
110,1,绿,515,6150
128,1,绿,241.864,1220.942857
103,1,绿,-92,266.6666667
126,1,绿,126,869.2307692
110,1,绿,319,4190
123,1,绿,343,1926.086957
118,1,绿,131,1283.333333
104,1,绿,-56.8,1080
119,1,绿,1510.087,8474.142105
117,1,绿,20.103,706.4882353
123,0,绿,1405,6543.478261
241,0,绿,277809,197098.5816
139,0,绿,10342,26774.35897
145,0,绿,1189,2864.444444
107,0,绿,428,7542.857143
138,0,绿,1119,3207.894737
157,0,绿,3593,6478.947368
150,0,绿,1363,2926
104,0,绿,-92,200
102,0,绿,-68,1600
123,0,绿,110,913.0434783
141,0,绿,150,609.7560976
102,0,绿,-98,100
107,0,绿,238.813,4840.185714
122,0,绿,1933,9240.909091
131,0,绿,781,2841.935484
106,0,绿,-93.875,102.0833333
105,0,绿,56,3120
113,0,绿,594,5338.461538
110,0,绿,140,2400
114,0,绿,97.11,1407.928571
118,0,绿,444,3022.222222
120,0,绿,1431,7655
102,0,绿,30,6500
101,0,绿,-90,1000
111,0,绿,184,2581.818182
107,0,绿,366,6657.142857
114,0,绿,74,1242.857143
101,0,绿,-83,1700
101,1,绿,-98,200
112,1,绿,21,1008.333333
101,1,绿,-98,200
115,1,绿,71,1140
120,1,绿,-31.866,340.67
110,1,绿,100.217,2002.17
114,1,绿,252.347,2516.764286
128,1,绿,3557,13060.71429
132,1,绿,684,2450
110,1,绿,235,3350
113,1,绿,-21,607.6923077
111,1,绿,287,3518.181818
117,1,绿,207,1805.882353
105,1,绿,4,2080
107,1,绿,1068.306,16690.08571
125,1,绿,2709,11236
108,1,绿,636,9200
113,1,绿,-29.8,540
117,1,绿,2501,15300
113,1,绿,61,1238.461538
116,1,绿,-62,237.5
117,1,绿,1878,11635.29412
103,1,绿,-49,1700
106,1,绿,-22.446,1292.566667
114,1,绿,410,3642.857143
121,1,绿,2605,12880.95238
117,1,绿,1379,8700
113,1,绿,496,4584.615385
113,1,绿,14,876.9230769
105,1,绿,64,3280
129,1,绿,189,996.5517241
142,1,绿,7166,17300
106,1,绿,891,16516.66667
131,1,绿,6748,22090.32258
117,1,绿,164,1552.941176
126,1,绿,3536,13984.61538
101,1,绿,-71,2900
118,1,绿,130,1277.777778
116,1,绿,-47,331.25
116,1,绿,140,1500
127,1,绿,37,507.4074074
115,1,绿,516,4106.666667
116,1,绿,1400,9375
119,1,绿,2019,11152.63158
117,1,绿,11,652.9411765
109,1,绿,1444,17155.55556
120,1,绿,195,1475
116,1,绿,1645,10906.25
106,1,绿,300,6666.666667
111,1,绿,218,2890.909091
106,1,绿,994,18233.33333
132,1,绿,-18,256.25
136,1,绿,2074,6038.888889
106,1,绿,388,8133.333333
128,1,绿,283.631,1370.110714
112,1,绿,1862,16350
128,1,绿,179.987,999.9535714
112,1,绿,325,3541.666667
113,1,绿,1416,11661.53846
111,1,绿,8.532,986.6545455
113,1,绿,-35,500
110,1,绿,-60.821,391.79
131,1,绿,179,900
112,1,绿,192,2433.333333
108,1,绿,-82,225
110,1,绿,51,1510
132,1,绿,1544.374,5138.66875
118,1,绿,236.631,1870.172222
128,1,绿,3449,12675
172,1,绿,178833,248518.0556
118,1,绿,218,1766.666667
118,1,绿,4944,28022.22222
132,1,绿,1604,5325
130,1,绿,1014.521,3715.07
146,1,绿,3169,7106.521739
117,1,绿,-47,311.7647059
114,1,绿,-42,414.2857143
116,1,绿,39,868.75
116,1,绿,3,643.75
108,1,绿,-68.678,391.525
101,1,绿,-84,1600
105,1,绿,-73.341,533.18
126,1,绿,1973,7973.076923
126,0,绿,341,1696.153846
114,0,绿,573,4807.142857
123,0,绿,531,2743.478261
104,0,绿,230,8250
105,0,绿,-43,1140
123,0,绿,19.291,518.6565217
117,0,绿,2859,17405.88235
114,0,绿,127,1621.428571
112,0,绿,995,9125
101,0,绿,-94,600
104,0,绿,-20,2000
115,0,绿,-70,200
115,0,绿,-60,266.6666667
104,0,绿,-91,225
118,0,绿,102,1122.222222
104,0,绿,-42,1450
107,0,绿,763,12328.57143
139,0,绿,2572,6851.282051
142,0,绿,498,1423.809524
112,0,绿,86,1550
133,0,绿,110,636.3636364
110,0,绿,129,2290
121,0,绿,241,1623.809524
111,0,绿,145,2227.272727
104,0,绿,351,11275
124,0,绿,3716,15900
107,0,绿,-82,257.1428571
102,0,绿,-94,300
103,0,绿,-49,1700
113,0,绿,-63,284.6153846
108,0,绿,-78,275
141,0,绿,2242,5712.195122
109,0,绿,24,1377.777778
101,0,绿,-93,700
118,0,绿,288.293,2157.183333
117,0,绿,240,2000
133,1,绿,44.312,437.3090909
142,1,绿,4930.377,11977.0881
110,1,绿,332.112,4321.12
108,1,绿,161,3262.5
114,1,绿,63,1164.285714
134,1,绿,5054,15158.82353
108,1,绿,399,6237.5
103,1,绿,95,6500
103,1,绿,-64,1200
103,1,绿,1400,50000
121,1,绿,-18,390.4761905
112,1,绿,570,5583.333333
116,1,绿,854,5962.5
111,1,绿,530,5727.272727
104,1,绿,899,24975
118,1,绿,111,1172.222222
107,1,绿,1284,19771.42857
108,1,绿,117,2712.5
116,1,绿,124,1400
101,1,绿,-82,1800
101,1,绿,-85,1500
122,1,绿,157.312,1169.6
102,1,绿,-74,1300
113,1,绿,83,1407.692308
112,1,绿,280.097,3167.475
106,1,绿,-64,600
144,1,绿,363.568,1053.563636
125,1,绿,1114.838,4859.352
123,1,绿,1154,5452.173913
120,1,绿,442.308,2711.54
107,1,绿,-98.398,22.88571429
129,1,绿,246,1193.103448
114,1,绿,71,1221.428571
109,1,绿,-11,988.8888889
120,1,绿,-60.824,195.88
108,1,绿,-86,175
112,1,绿,115.871,1798.925
105,1,绿,50.347,3006.94
158,1,绿,153366,264596.5517
143,1,绿,6229,14718.60465
125,1,绿,1435,6140
142,1,绿,1272.718,3268.37619
139,1,绿,3730,9820.512821
118,1,绿,17,650
114,1,绿,-40,428.5714286
111,1,绿,-7,845.4545455
111,1,绿,343,4027.272727
113,1,绿,10,846.1538462
114,1,绿,809,6492.857143
110,1,绿,1547,16470
124,1,绿,212,1300
120,1,绿,898,4990
102,1,绿,-74.8,1260
123,1,绿,128,991.3043478
121,1,绿,819,4376.190476
104,1,绿,117,5425
102,1,绿,15,5750
109,1,绿,279,4211.111111
113,1,绿,-60.129,306.7
160,1,绿,69,281.6666667
124,1,绿,3,429.1666667
114,1,绿,28.27,916.2142857
103,1,绿,17.904,3930.133333
115,1,绿,33,886.6666667
105,0,绿,-0.393,1992.14
123,0,绿,35380,154260.8696
107,2,绿,8,1542.857143
114,2,绿,192,2085.714286
112,2,绿,263,3025
101,2,绿,-75,2500
114,2,绿,587,4907.142857
118,2,绿,103,1127.777778
101,2,绿,-91,900
137,2,绿,3036,8475.675676
119,2,绿,283.399,2017.889474
119,2,绿,-77.87,116.4736842
140,2,绿,684,1960
103,2,绿,-68,1066.666667
121,2,绿,331,2052.380952
120,2,绿,750,4250
116,2,绿,1519,10118.75
119,2,绿,3320,18000
111,2,绿,35,1227.272727
131,2,绿,674,2496.774194
118,2,绿,-55.06,249.6666667
111,2,绿,1019,10172.72727
127,2,绿,122,822.2222222
123,2,绿,16,504.3478261
124,2,绿,447.887,2282.8625
151,2,绿,2050,4215.686275
116,2,绿,171,1693.75
121,2,绿,87.107,890.9857143
117,2,绿,279,2229.411765
133,2,绿,49.252,452.2787879
177,2,绿,1579.856,2181.631169
111,2,绿,28,1163.636364
104,2,绿,-45,1375
136,2,绿,2114,6150
108,2,绿,-16,1050
117,2,绿,3783,22841.17647
114,2,绿,829,6635.714286
109,2,绿,595.168,7724.088889
117,2,绿,279.007,2229.452941
117,2,绿,2613,15958.82353
109,2,绿,-36,711.1111111
105,2,绿,303,8060
118,2,绿,1596,9422.222222
110,2,绿,1330,14300
105,2,绿,-49,1020
104,2,绿,354,11350
102,2,绿,-60,2000
118,2,绿,924.174,5689.855556
112,2,绿,502,5016.666667
121,2,绿,184.879,1356.566667
108,2,绿,138.923,2986.5375
109,2,绿,1131,13677.77778
119,2,绿,1383.297,7806.826316
113,2,绿,75,1346.153846
101,2,绿,-98,200
106,2,绿,45,2416.666667
115,2,绿,107,1380
114,2,绿,370,3357.142857
105,2,绿,-85,300
109,2,绿,80,2000
149,2,绿,5212,10840.81633
111,2,绿,209,2809.090909
105,2,绿,128,4560
124,2,绿,76223,318012.5
113,2,绿,5071,39776.92308
132,2,绿,12801,40315.625
103,2,绿,-55,1500
123,2,绿,1100,5217.391304
